Datetime,volume,price
2015-01-15,180005110,61.8
2015-01-16,143117080,61.99
2015-01-19,124918310,61.8
2015-01-20,120109490,60.8
2015-01-21,106804150,62.8
2015-01-22,173344710,64.35
2015-01-23,163436260,64.45
2015-01-26,154035210,60.49
2015-01-27,188572120,61.2
2015-01-28,139314670,60.63
2015-01-29,150527510,60.5
2015-01-30,194980610,61.5
2015-02-02,195554010,61.4
2015-02-03,140880980,62.0
2015-02-04,83495280,61.04
2015-02-05,173331680,62.41
2015-02-06,180698040,64.31
2015-02-09,224135470,65.57
2015-02-10,121431950,65.0
2015-02-11,142445360,65.12
2015-02-12,403090230,67.21
2015-02-13,375773430,70.6
2015-02-16,131054210,70.0
2015-02-17,243539660,72.45
2015-02-18,237863380,76.4
2015-02-19,238749450,73.78
2015-02-20,177829380,74.75
2015-02-24,117265120,73.7
2015-02-25,122714250,74.2
2015-02-26,143958950,75.95
2015-02-27,129979040,75.91
2015-03-02,110696420,76.2
2015-03-03,129705180,75.55
2015-03-04,117798050,72.31
2015-03-05,175857900,72.7
2015-03-06,105050160,73.25
2015-03-10,149557550,69.8
2015-03-11,149717760,70.68
2015-03-12,82959400,70.79
2015-03-13,151669320,67.87
2015-03-16,156289080,65.57
2015-03-17,183457200,64.65
2015-03-18,108223320,65.26
2015-03-19,124342050,64.9
2015-03-20,147872150,67.0
2015-03-23,131474510,65.0
2015-03-24,121944620,65.6
2015-03-25,97814600,64.8
2015-03-26,148212490,62.85
2015-03-27,157726010,61.0
2015-03-30,121585170,63.01
2015-03-31,113703370,62.88
2015-04-01,161132260,64.5
2015-04-02,138482010,65.92
2015-04-03,85588420,65.5
2015-04-06,137120690,68.99
2015-04-07,224738420,69.6
2015-04-08,124300110,69.4
2015-04-09,187982850,72.0
2015-04-10,143967740,71.5
2015-04-13,165129570,74.1
2015-04-14,135451730,74.05
2015-04-15,153846180,76.49
2015-04-16,176773010,76.5
2015-04-17,157337590,72.5
2015-04-20,157896000,73.5
2015-04-21,157633660,75.24
2015-04-22,143896300,73.9
2015-04-23,192895230,75.8
2015-04-24,155138110,75.75
2015-04-27,126319130,75.2
2015-04-28,99218180,75.7
2015-04-29,87147120,75.2
2015-04-30,105036540,76.9
2015-05-05,136570620,80.21
2015-05-06,110343180,79.2
2015-05-07,111790370,76.5
2015-05-08,109570490,75.5
2015-05-12,99583780,75.19
2015-05-13,108370700,75.24
2015-05-14,89950110,74.31
2015-05-15,66428900,75.05
2015-05-18,91255640,75.36
2015-05-19,95117880,73.35
2015-05-20,111312700,71.6
2015-05-21,98610820,73.25
2015-05-22,130057270,74.35
2015-05-25,60933420,74.46
2015-05-26,80631210,74.67
2015-05-27,110149140,74.23
2015-05-28,83529650,73.6
2015-05-29,136698370,73.5
2015-06-01,113205280,72.65
2015-06-02,75392090,73.92
2015-06-03,107211510,71.72
2015-06-04,109970350,71.25
2015-06-05,77281110,70.61
2015-06-08,102748480,69.17
2015-06-09,98748730,70.21
2015-06-10,91552570,71.51
2015-06-11,123890170,72.55
2015-06-15,102080440,71.8
2015-06-16,107571400,73.5
2015-06-17,86995650,72.81
2015-06-18,91400010,72.98
2015-06-19,92741580,71.56
2015-06-22,74326940,72.0
2015-06-23,52938560,72.01
2015-06-24,56452820,71.98
2015-06-25,45477110,71.42
2015-06-26,98330570,70.6
2015-06-29,77616070,70.2
2015-06-30,99473820,72.35
2015-07-01,101154440,71.0
2015-07-02,83756690,70.54
2015-07-03,58707530,70.67
2015-07-06,123570110,68.45
2015-07-07,103684770,68.77
2015-07-08,160173700,67.73
2015-07-09,84780130,69.35
2015-07-10,108780680,71.06
2015-07-13,231581340,72.94
2015-07-14,110524300,73.9
2015-07-15,79249180,74.0
2015-07-16,56795770,74.21
2015-07-17,88937350,75.52
2015-07-20,89338110,74.1
2015-07-21,108985690,75.55
2015-07-22,99433200,74.6
2015-07-23,91626820,72.7
2015-07-24,133887760,70.45
2015-07-27,209986640,68.48
2015-07-28,181247650,69.55
2015-07-29,123880080,71.2
2015-07-30,107101630,72.2
2015-07-31,153437500,72.3
2015-08-03,117599820,71.1
2015-08-04,99409330,72.3
2015-08-05,113008940,73.49
2015-08-06,102421110,72.25
2015-08-07,105214340,74.2
2015-08-10,84327190,75.16
2015-08-11,113655080,73.2
2015-08-12,98910440,73.4
2015-08-13,77333790,73.7
2015-08-14,73226070,74.43
2015-08-17,94182540,73.0
2015-08-18,87653250,72.45
2015-08-19,105333980,71.5
2015-08-20,108445080,72.05
2015-08-21,118509720,69.86
2015-08-24,232160070,68.53
2015-08-25,145878970,70.79
2015-08-26,129671460,71.0
2015-08-27,153628490,73.8
2015-08-28,174611890,74.82
