DateTime,open,high,low,close,volume,price
10/16/2007 14:52,99.73,99.76,99.71,99.75,9922,59.75
10/16/2007 14:53,99.75,99.76,99.63,99.65,24505,56.65
10/16/2007 14:54,99.66,99.74,99.65,99.74,16257,60.74
10/16/2007 14:55,99.74,99.75,99.72,99.72,9563,58.72
10/16/2007 14:56,99.73,99.73,99.65,99.69,24744,51.69
10/16/2007 14:57,99.7,99.76,99.67,99.76,22593,60.76
10/16/2007 14:58,99.75,99.77,99.75,99.76,8965,62.76
10/16/2007 14:59,99.75,99.78,99.74,99.74,21278,61.74
10/16/2007 15:00,99.76,99.83,99.76,99.83,19485,54.83
10/16/2007 15:01,99.83,99.88,99.81,99.87,29048,49.87
10/16/2007 15:02,99.86,99.88,99.83,99.84,19604,61.84
10/16/2007 15:03,99.85,99.88,99.83,99.85,14823,54.85
10/16/2007 15:04,99.84,99.86,99.82,99.83,16377,48.83
10/16/2007 15:05,99.83,99.87,99.77,99.87,68256,63.87
10/16/2007 15:06,99.85,99.88,99.76,99.81,43392,51.81
10/16/2007 15:07,99.8,99.87,99.75,99.82,57737,52.82
10/16/2007 15:08,99.83,99.88,99.67,99.79,73994,49.79
10/16/2007 15:09,99.78,99.78,99.68,99.77,15779,52.77
10/16/2007 15:10,99.76,99.79,99.72,99.79,21995,46.79
10/16/2007 15:11,99.78,99.83,99.67,99.72,53792,55.72
10/16/2007 15:12,99.71,99.71,99.65,99.68,16377,48.68
10/16/2007 15:13,99.68,99.68,99.63,99.63,22712,49.63
10/16/2007 15:14,99.63,99.7,99.63,99.7,24027,48.7
10/16/2007 15:15,99.71,99.75,99.68,99.75,22114,53.75
10/16/2007 15:16,99.75,99.76,99.72,99.73,16496,55.73
10/16/2007 15:17,99.73,99.79,99.67,99.78,66821,58.78
10/16/2007 15:18,99.77,99.87,99.76,99.85,59410,53.85
10/16/2007 15:19,99.85,99.95,99.68,99.95,88338,51.95
10/16/2007 15:20,99.94,100.01,99.88,99.97,78536,61.97
10/16/2007 15:21,99.99,100.09,99.97,100.06,50445,55.06
10/16/2007 15:22,100.06,100.09,100,100.08,34188,58.08
10/16/2007 15:23,100.06,100.23,100.05,100.19,95212,54.19
10/16/2007 15:24,100.19,100.19,100,100.14,63953,47.14
10/16/2007 15:25,100.16,100.24,100.1,100.2,46022,50.2
10/16/2007 15:26,100.2,100.24,100.17,100.2,39806,56.2
10/16/2007 15:27,100.21,100.22,100.19,100.19,27255,61.19
10/16/2007 15:28,100.19,100.2,100.19,100.19,37774,54.19
10/16/2007 15:29,100.19,100.19,100.14,100.14,36220,60.14
10/16/2007 15:30,100.12,100.14,99.84,99.94,80807,58.94
10/16/2007 15:31,99.94,99.98,99.92,99.96,60845,58.96
10/16/2007 15:32,99.97,99.98,99.95,99.96,35264,61.96
10/16/2007 15:33,99.97,99.99,99.94,99.97,89773,56.97
10/16/2007 15:34,99.97,100,99.95,99.99,41838,57.99
10/16/2007 15:35,99.97,100.02,99.97,99.98,31438,53.98
10/16/2007 15:36,99.97,100.04,99.93,100.03,51640,48.03
10/16/2007 15:37,100.04,100.08,100.01,100.05,65626,48.05
10/16/2007 15:38,100.05,100.23,100.02,100.22,119179,63.22
10/16/2007 15:39,100.24,100.34,100.2,100.21,91805,59.21
10/16/2007 15:40,100.21,100.23,100.1,100.18,99216,64.18
10/16/2007 15:41,100.19,100.29,100.14,100.18,54748,54.18
10/16/2007 15:42,100.18,100.19,100.08,100.15,82600,48.15
10/16/2007 15:43,100.15,100.15,100.11,100.12,28689,49.12
10/16/2007 15:44,100.13,100.18,100.13,100.16,73635,49.16
10/16/2007 15:45,100.16,100.18,100.14,100.17,50684,50.17
10/16/2007 15:46,100.16,100.24,100.15,100.24,75309,49.24
10/16/2007 15:47,100.24,100.34,100.22,100.24,122885,47.24
10/16/2007 15:48,100.24,100.29,100.13,100.16,91566,64.16
10/16/2007 15:49,100.16,100.24,100.16,100.2,77460,58.2
10/16/2007 15:50,100.2,100.2,100.07,100.09,159344,56.09
10/16/2007 15:51,100.1,100.12,99.92,99.93,86904,63.93
10/16/2007 15:52,99.94,100.09,99.86,100.04,79373,53.04
10/16/2007 15:53,100.03,100.04,99.93,99.93,79253,46.93
10/16/2007 15:54,99.94,99.96,99.93,99.96,57617,46.96
10/16/2007 15:55,99.94,99.99,99.92,99.92,90849,60.92
10/16/2007 15:56,99.92,99.95,99.87,99.92,91924,47.92
10/16/2007 15:57,99.92,99.98,99.68,99.97,118820,61.97
10/16/2007 15:58,99.96,100.14,99.96,100.07,138305,53.07
10/16/2007 15:59,100.07,100.14,100.03,100.03,109616,50.03
10/16/2007 16:00,100.05,100.22,100.05,100.05,16257,61.05
10/16/2007 16:01,100.05,100.05,100.05,100.05,598,60.05
10/16/2007 16:02,100.05,100.05,99.95,99.97,436790,61.97
10/16/2007 16:03,99.95,99.97,99.95,99.97,1434,51.97
10/16/2007 16:04,99.72,100.08,99.72,100.08,1195,57.08
10/16/2007 16:05,99.97,100.05,99.95,100.05,717,49.05
10/16/2007 16:06,99.97,100.02,99.97,100.02,239,59.02
10/16/2007 16:07,99.97,99.97,99.97,99.97,478,53.97
10/16/2007 16:08,99.58,99.58,97.79,99.19,86545,62.19
10/16/2007 16:09,99.14,99.14,98.39,98.74,102324,50.74
10/16/2007 16:10,98.75,98.77,98.39,98.61,105910,46.61
10/16/2007 16:11,98.65,99.85,98.6,99.3,112604,49.3
10/16/2007 16:12,99.32,99.53,98.74,98.93,54031,49.93
10/16/2007 16:13,99,100.05,98.65,98.71,73516,58.71
10/16/2007 16:14,98.71,99.03,98.71,98.88,41958,62.88
10/16/2007 16:15,98.88,99.13,98.76,99.13,30960,63.13
10/16/2007 16:16,99.13,99.42,98.99,99.13,30123,54.13
10/16/2007 16:17,99.13,99.13,98.71,98.77,39806,54.77
10/16/2007 16:18,98.75,99.13,98.73,98.94,27374,48.94
10/16/2007 16:19,98.85,98.85,98.4,98.42,55944,62.42
10/16/2007 16:20,98.42,99.53,98.42,98.59,31558,58.59
10/16/2007 16:21,98.59,100.05,98.55,98.77,26776,52.77
10/16/2007 16:22,98.74,100.05,98.55,98.71,30363,47.71
10/16/2007 16:23,98.71,98.78,98.55,98.64,37296,62.64
10/16/2007 16:24,98.68,98.92,98.68,98.69,34785,53.69
10/16/2007 16:25,98.83,98.84,98.42,98.42,9922,58.42
10/16/2007 16:26,98.42,98.66,98.31,98.66,11117,51.66
10/16/2007 16:27,98.69,98.69,98.46,98.62,19246,58.62
10/16/2007 16:28,98.63,98.63,98.55,98.59,5021,45.59
10/16/2007 16:29,98.55,98.7,98.5,98.7,4303,61.7
10/16/2007 16:30,98.71,98.71,98.59,98.6,6096,50.6
10/16/2007 16:31,98.64,99.97,98.64,98.7,6335,45.7
10/16/2007 16:32,98.69,98.92,98.66,98.75,29287,61.75
10/16/2007 16:33,98.76,98.78,98.67,98.76,8726,48.76
10/16/2007 16:34,98.74,98.74,98.66,98.71,3108,50.71
10/16/2007 16:35,98.71,98.75,98.66,98.66,7172,54.66
10/16/2007 16:36,98.66,98.71,98.47,98.52,10639,61.52
10/16/2007 16:37,98.55,98.71,98.55,98.7,5260,58.7
10/16/2007 16:38,98.71,99.73,98.63,98.71,15301,61.71
10/16/2007 16:39,98.71,98.71,98.7,98.71,8726,48.71
10/16/2007 16:40,98.71,98.71,98.58,98.58,2630,60.58
10/16/2007 16:41,98.59,98.59,98.5,98.5,6694,46.5
10/16/2007 16:42,98.5,98.59,98.3,98.34,29645,45.34
10/16/2007 16:43,98.3,98.5,98.3,98.42,11715,47.42
10/16/2007 16:44,98.45,98.46,98.36,98.42,11834,54.42
10/16/2007 16:45,98.35,98.41,98.25,98.3,36818,54.3
10/16/2007 16:46,98.26,98.38,98.26,98.37,11237,57.37
10/16/2007 16:47,98.37,98.37,98.13,98.16,17692,46.16
10/16/2007 16:48,98.17,98.18,98.13,98.17,6814,52.17
10/16/2007 16:49,98.21,98.29,98.21,98.28,6335,45.28
10/16/2007 16:50,98.29,98.29,97.94,97.99,26418,49.99
10/16/2007 16:51,97.97,98.04,97.88,97.95,76624,45.95
10/16/2007 16:52,97.95,98.03,97.88,98,42675,47
10/16/2007 16:53,97.97,98.19,97.96,98.09,40404,50.09
10/16/2007 16:54,98.1,98.19,98.05,98.13,1793,51.13
