Datetime,volume,price
2015-12-21,2318500,56.9
2015-12-22,1944400,57.5
2015-12-23,2207900,57.01
2015-12-24,654000,56.8
2015-12-25,630700,56.74
2015-12-28,1531100,56.29
2015-12-29,734400,56.11
2015-12-30,1041100,56.1
2016-01-04,933200,56.2
2016-01-05,3146900,54.45
2016-01-06,3016000,54.05
2016-01-11,2739500,52.06
2016-01-12,2957000,53.25
2016-01-13,4486600,55.0
2016-01-14,3081100,53.6
2016-01-15,3862200,51.98
2016-01-18,3533200,50.4
2016-01-19,4058400,52.06
2016-01-20,2137600,52.0
2016-01-21,4067200,50.99
2016-01-22,4818200,52.03
2016-01-25,4227100,51.1
2016-01-26,2005500,51.28
2016-01-27,3620000,50.99
2016-01-28,6588200,50.89
2016-01-29,2664000,50.5
2016-02-01,20490500,54.77
2016-02-02,7932300,54.1
2016-02-03,3796100,53.84
2016-02-04,3864700,54.89
2016-02-05,6567000,57.3
2016-02-08,5878800,57.35
2016-02-09,5789200,56.66
2016-02-10,3214200,55.8
2016-02-11,5647300,53.64
2016-02-12,4201600,54.41
2016-02-15,2984600,53.88
2016-02-16,2395600,54.13
2016-02-17,2451900,53.59
2016-02-18,2548700,54.15
2016-02-19,2293300,53.32
2016-02-20,408000,53.4
2016-02-22,2511300,54.8
2016-02-24,1718700,53.7
2016-02-25,2492800,54.05
2016-02-26,5167900,55.35
2016-02-29,7224100,57.1
2016-03-01,17409000,61.19
2016-03-02,12015500,61.1
2016-03-03,5612100,61.61
2016-03-04,10776400,65.49
2016-03-07,10338200,65.94
2016-03-09,13296600,62.45
2016-03-10,10657900,63.77
2016-03-11,9131300,64.77
2016-03-14,5170600,65.55
2016-03-15,8512500,66.3
2016-03-16,11406500,69.98
2016-03-17,7442700,70.19
2016-03-18,5921000,70.51
2016-03-21,10993300,73.53
2016-03-22,10563400,73.69
2016-03-23,4275400,72.94
2016-03-24,4230900,73.76
2016-03-25,2138700,73.21
2016-03-28,1557000,72.6
2016-03-29,4476200,73.69
2016-03-30,2597900,74.1
2016-03-31,3746800,74.48
2016-04-01,5759200,74.55
2016-04-04,2515400,74.65
2016-04-05,4655200,75.4
2016-04-06,10102200,79.14
